iter	Logloss
227	0.40493562
228	0.4049292366
229	0.4048589532
230	0.4047808736
231	0.404733677
232	0.4046299631
233	0.4045620885
234	0.4044400903
235	0.4043634726
236	0.4042273026
237	0.4040922262
238	0.4039279452
239	0.4038667738
240	0.4037883497
241	0.4037053353
242	0.4035590583
243	0.4034930001
244	0.4033747972
245	0.4033353428
246	0.4032606449
247	0.4031643498
248	0.4029917975
249	0.4028802927
250	0.4028263616
251	0.4027847995
252	0.4027338859
253	0.402621605
254	0.4025804343
255	0.4024784537
256	0.4023820719
257	0.4023011139
258	0.4021873319
259	0.4020496918
260	0.401978456
261	0.4018882873
262	0.4018248122
263	0.401763105
264	0.4016913498
265	0.4015252618
266	0.4014347794
267	0.4013743182
268	0.4013126524
269	0.4012158901
270	0.4010879366
271	0.4009868486
272	0.4009231244
273	0.4007531734
274	0.4006833793
275	0.4005292016
276	0.4004567112
277	0.4003411403
278	0.400286002
279	0.4001817088
280	0.4000097898
281	0.3999322382
282	0.3998685607
283	0.3997467452
284	0.3996298628
285	0.3995046923
286	0.3994289724
287	0.3993100997
288	0.3991753876
289	0.3990256466
290	0.3989360049
291	0.3988398182
292	0.3986490278
293	0.3985744815
294	0.3984150547
295	0.3983045545
296	0.3982154595
297	0.398078473
298	0.3979244648
299	0.3978468206
300	0.3977663364
301	0.3976620519
302	0.3976179384
303	0.3974891204
304	0.3972930285
305	0.3972230694
306	0.3970698294
307	0.3969685923
308	0.3968847357
309	0.3967978843
310	0.3966704468
311	0.3964982429
312	0.3964439889
313	0.396352819
314	0.3962376357
315	0.3961838607
316	0.3960835674
317	0.3959405737
318	0.3958697399
319	0.3957520993
320	0.3956542905
321	0.3955338581
322	0.3954601201
323	0.3953180172
324	0.3951845669
325	0.3950864409
326	0.395030921
327	0.3949007406
328	0.3947158975
329	0.3945399096
330	0.3943970739
331	0.3942681855
332	0.39417315
333	0.3940733234
334	0.3939961013
335	0.3938694304
336	0.3937789983
337	0.3936387862
338	0.3935172367
339	0.3934076166
340	0.3933474393
341	0.3932084814
342	0.3931256104
343	0.3929715801
344	0.3928288865
345	0.3928000634
346	0.3926656613
347	0.392585033
348	0.3924299405
349	0.3923396886
350	0.3921967659
351	0.3920484149
352	0.3918804445
353	0.3917611656
354	0.3917048349
355	0.3916230189
356	0.3915125105
357	0.3913459554
358	0.3912644064
359	0.3911246769
360	0.3910607022
361	0.3909203477
362	0.3907822113
363	0.3906457358
364	0.3905435507
365	0.3903954265
366	0.3902897374
367	0.3901444254
368	0.3900139819
369	0.3898491616
370	0.3897329559
371	0.3896277325
372	0.3894839893
373	0.3893625495
374	0.3892165515
375	0.3891445965
376	0.3889858346
377	0.3888692366
378	0.3887591087
379	0.3887120079
380	0.3886129095
381	0.3884853621
382	0.3883586807
383	0.3882579595
384	0.3881390479
385	0.3880636169
386	0.3879849934
387	0.3878174729
388	0.3876823863
389	0.3875416726
390	0.3873758971
391	0.3872286748
392	0.3870468901
393	0.3869336327
394	0.3868198877
395	0.3867221352
396	0.3865864412
397	0.3864809791
398	0.3863799543
399	0.3862644255
400	0.3861796023
401	0.3860266818
402	0.3859475557
403	0.3858588952
404	0.3857999265
405	0.385753547
406	0.3856353461
407	0.38555979
408	0.3853840349
409	0.3852443136
410	0.3851210721
411	0.3850462454
412	0.3849379554
413	0.3848056302
414	0.3846804083
415	0.3846287449
416	0.3844908857
417	0.3843527172
418	0.3841548346
419	0.3840778674
420	0.3839948687
421	0.3839249223
422	0.3838052037
423	0.3836485583
424	0.3835064708
425	0.3834456696
426	0.3833722604
427	0.3833247605
428	0.3832364791
429	0.3830718012
430	0.3829402935
431	0.3828401214
432	0.3826980714
433	0.3826489472
434	0.3824987265
435	0.3824003338
436	0.382324913
437	0.3821714413
438	0.3820929753
439	0.3819641706
440	0.3818590636
441	0.3817863222
442	0.3816752134
443	0.3816001335
444	0.3815389328
445	0.3814207295
446	0.3813417626
447	0.3811662359
448	0.3810506422
449	0.3809230297
450	0.3808524388
451	0.380742969
452	0.3806578815
453	0.3805552536
454	0.3804810285
455	0.3804003209
456	0.3802619811
457	0.3801896969
458	0.3800977404
459	0.3799940097
460	0.3799196641
461	0.379808163
462	0.3797601498
463	0.3796836127
464	0.3795127677
465	0.3794337979
466	0.3793127871
467	0.379176089
468	0.3790502767
469	0.3789882556
470	0.3788528254
471	0.3787962169
472	0.3786895601
473	0.3785418715
474	0.3784216723
475	0.3783136552
476	0.3782411107
477	0.3781120438
478	0.3780569076
479	0.3779227842
480	0.3777758982
481	0.3777010356
482	0.3775785668
483	0.3774890821
484	0.3773617349
485	0.3772844959
486	0.3772301437
487	0.3771201169
488	0.3770096645
489	0.3769415013
490	0.3768640329
491	0.3767966029
492	0.376693182
493	0.376632652
494	0.3765115845
495	0.3764402383
496	0.3763760598
497	0.3762398409
498	0.3761506619
499	0.3760833946
500	0.3759030077
501	0.3757987795
502	0.3756967659
503	0.3756041113
504	0.3755363191
505	0.3754028268
506	0.3752884628
507	0.3752051444
508	0.3750847724
509	0.3749708124
510	0.3748545857
511	0.3747555937
512	0.3747493716
513	0.3746365004
514	0.3745224294
515	0.3743967815
516	0.3743299462
517	0.3741916886
518	0.3741289612
519	0.3740288959
520	0.3739691606
521	0.3738871499
522	0.3738269491
523	0.3737338444
524	0.3736191298
525	0.373592454
526	0.3735192721
527	0.3734002871
528	0.3732626203
529	0.3731938022
530	0.3730805473
531	0.3730187374
532	0.3728850288
533	0.3728406261
534	0.3727902183
535	0.372736255
536	0.3726211949
537	0.3725176293
538	0.3724391064
539	0.3723466616
540	0.372256246
541	0.3721396925
542	0.3720390366
543	0.371928532
544	0.3717588165
545	0.3716376351
546	0.3715897388
547	0.3714886557
548	0.37142803
549	0.3712959905
550	0.3712121009
551	0.3710896486
552	0.3710150516
553	0.3709047713
554	0.3707903911
555	0.3706837221
556	0.3706210881
557	0.3704773344
558	0.3704231043
559	0.3703023201
560	0.3701513749
561	0.370028327
562	0.369920718
563	0.3698260511
564	0.3697091911
565	0.3696445628
566	0.369477272
567	0.3694385781
568	0.3693570481
569	0.3692544724
570	0.3691909179
571	0.3690671458
572	0.3689796721
573	0.3688878156
574	0.3687586457
575	0.3687070527
576	0.3686792923
577	0.3686008896
578	0.3685587938
579	0.368439241
580	0.3683090223
581	0.3681966197
582	0.3681511338
583	0.3680968904
584	0.3679572308
585	0.3679315998
586	0.3678898133
587	0.3677323415
588	0.3676367088
589	0.3675088055
590	0.3674287067
591	0.3672750959
592	0.3672198433
593	0.3670722358
594	0.3669434461
595	0.3668487518
596	0.3667480596
597	0.366634008
598	0.3665479114
599	0.3664666738
600	0.3664033912
601	0.3663647194
602	0.3663040666
603	0.3661970551
604	0.3661285506
605	0.3660824323
606	0.3660226003
607	0.3659566522
608	0.3658648005
609	0.365777554
610	0.365703227
611	0.3655520371
612	0.3654626718
613	0.3653611523
614	0.3652988431
615	0.3652274643
616	0.3651765835
617	0.3650668715
618	0.364959274
619	0.3648900714
620	0.3647214569
621	0.3646310454
622	0.3645124057
623	0.3643395169
624	0.3641845122
625	0.3641207411
626	0.3640489539
627	0.3639555522
628	0.3638363584
629	0.3636971093
630	0.3635937649
631	0.3635254239
632	0.3634707189
633	0.3633954157
634	0.3632895379
635	0.3632147178
636	0.3631131735
637	0.3629831941
638	0.3629093264
639	0.3628468105
640	0.3626855337
641	0.3625245432
642	0.3624080764
643	0.362349147
644	0.3622792637
645	0.3621580011
646	0.3620187958
647	0.3619107923
648	0.3618250157
649	0.3617532473
650	0.3616604042
651	0.3615737278
652	0.3614359182
653	0.3613582069
654	0.3612776915
655	0.3611502945
656	0.3610894873
657	0.3610045237
658	0.3608895158
659	0.3607946241
660	0.360708462
661	0.3605560181
662	0.3605116391
663	0.3604171122
664	0.3603764566
665	0.3603150355
666	0.3602481302
667	0.3601253192
668	0.3600208618
669	0.3599079689
670	0.3598052566
671	0.3597657052
672	0.3597158948
673	0.3596268566
674	0.3595593291
675	0.3595009586
676	0.3593959868
677	0.3593591029
678	0.3593068434
679	0.3592356763
680	0.3591927199
681	0.3590842396
682	0.3590051674
683	0.3590035724
684	0.3588952056
685	0.3587829948
686	0.3587357365
687	0.3586621312
688	0.3585628769
689	0.3584886641
690	0.358379693
691	0.3582744929
692	0.3582124104
693	0.3580963751
694	0.3580476378
695	0.3579462803
696	0.3578659367
697	0.357755328
698	0.3576360598
699	0.3575475238
700	0.3574561373
701	0.3573947877
702	0.3573210351
703	0.3572286198
704	0.3571380319
705	0.3570609661
706	0.3570249858
707	0.3569274275
708	0.3567986444
709	0.3566768883
710	0.3565716439
711	0.3564964083
712	0.356428441
713	0.3563535828
714	0.3562463074
715	0.3561455647
716	0.3560357605
717	0.3559917055
718	0.3558783316
719	0.3558029627
720	0.3557171044
721	0.3556216355
722	0.3556040884
723	0.3554817057
724	0.3553870924
725	0.3553180353
726	0.3552568636
727	0.3551212566
728	0.3550349627
729	0.3549232314
730	0.3548476458
731	0.3547988442
732	0.3547389389
733	0.3546718701
734	0.3545547207
735	0.3545060541
736	0.3544448
737	0.3543203394
738	0.3542492124
739	0.3541935692
740	0.3541072371
741	0.354016222
742	0.3538799291
743	0.3538051288
744	0.3536585167
745	0.3535753384
746	0.3534908264
747	0.3534475278
748	0.3533489268
749	0.3532132934
750	0.3531167417
751	0.3530434594
752	0.3529860521
753	0.3528880132
754	0.3527631925
755	0.3527296464
756	0.3527039129
757	0.3525619082
758	0.352468357
759	0.3523701959
760	0.3523047254
761	0.3522190315
762	0.3521532263
763	0.3520814071
764	0.3520463984
765	0.3519042385
766	0.3518270575
767	0.3516958764
768	0.3515449606
769	0.3514592672
770	0.3513506735
771	0.3513196816
772	0.3513033639
773	0.3512897813
774	0.3512339026
775	0.3511742934
776	0.3511535509
777	0.3510561079
778	0.3509269844
779	0.3508926812
780	0.3508315345
781	0.3506993207
782	0.3506500526
783	0.3506214791
784	0.350581944
785	0.3504857641
786	0.3504042941
787	0.3503096931
788	0.3502349255
789	0.3501471511
790	0.3500248496
791	0.3499734013
792	0.3499022648
793	0.3498045693
794	0.3497041689
795	0.3496183905
796	0.3495202583
797	0.3493918099
798	0.349337952
799	0.3492311108
800	0.3491464612
801	0.3490733644
802	0.3489797328
803	0.3489003276
804	0.3488836523
805	0.3488136238
806	0.3487032764
807	0.348589219
808	0.3485271867
809	0.3484248452
810	0.3483306966
811	0.3482605039
812	0.3481964245
813	0.3480551961
814	0.3479522162
815	0.3478788127
816	0.3477898768
817	0.3476956177
818	0.3476031587
819	0.3474656184
820	0.3474012335
821	0.347263019
822	0.3472002431
823	0.3471468614
824	0.3470473618
825	0.3470239973
826	0.3469790663
827	0.3468638857
828	0.3468264031
829	0.3467288912
830	0.346664367
831	0.3465470634
832	0.346488839
833	0.3464231411
834	0.3463299075
835	0.3462668157
836	0.3461876849
837	0.3460926152
838	0.3459862173
839	0.3458618203
840	0.3457941666
841	0.345737532
842	0.3456360967
843	0.3455731759
844	0.3454991012
845	0.3453888153
846	0.3453182334
847	0.3451941772
848	0.3451516209
849	0.3450593254
850	0.3449840634
851	0.3448985199
852	0.3448242221
853	0.344682261
854	0.3445697168
855	0.3444651973
856	0.3444047425
857	0.3443148926
858	0.3442218931
859	0.3441513692
860	0.3440570384
861	0.3439492298
862	0.3438309922
863	0.3437936752
864	0.3436881869
865	0.3436097858
866	0.3435402922
867	0.3434890524
868	0.3434422164
869	0.3433973573
870	0.3433268611
871	0.3432450961
872	0.3431793878
873	0.3430649721
874	0.3429823994
875	0.3428711337
876	0.3427396937
877	0.3426444402
878	0.3425622669
879	0.3425218805
880	0.3424229081
881	0.3423883609
882	0.3423275843
883	0.3422694487
884	0.342143103
885	0.3419873585
886	0.3419325536
887	0.3418565983
888	0.3417860849
889	0.3416827455
890	0.3415878086
891	0.3415149455
892	0.3414449351
893	0.3413769992
894	0.341302862
895	0.3412469842
896	0.3411616863
897	0.3410895197
898	0.3409866242
899	0.340842404
900	0.3407761367
901	0.3407104356
902	0.340623463
903	0.3405720217
904	0.340470756
905	0.340401261
906	0.3403204441
907	0.3402516129
908	0.3401510618
909	0.3400484951
910	0.3400281336
911	0.3399946402
912	0.3399148856
913	0.3398352879
914	0.3397574983
915	0.3396917621
916	0.3395873765
917	0.3394794486
918	0.3394311875
919	0.339362995
920	0.3392693097
921	0.3391676396
922	0.3390563023
923	0.3389143783
924	0.338814119
925	0.3387231715
926	0.3386795909
927	0.3385852301
928	0.3385105389
929	0.3383846905
930	0.3383148628
931	0.3382215689
932	0.3380883666
933	0.3380532469
934	0.3380089353
935	0.3379316962
936	0.3378842867
937	0.3378205446
938	0.3377742959
939	0.3376621846
940	0.3375261555
941	0.3374008588
942	0.3372758378
943	0.337167055
944	0.3370806524
945	0.3369816728
946	0.3369024133
947	0.3368036289
948	0.3367093925
949	0.3366187936
950	0.3365326196
951	0.3363997333
952	0.3362801805
953	0.3362067898
954	0.3360815992
955	0.3360004903
956	0.3359157711
957	0.335812648
958	0.335716179
959	0.3356369485
960	0.3355495957
961	0.3354814644
962	0.3353476559
963	0.3352348202
964	0.3351125284
965	0.3350492864
966	0.3349392172
967	0.3348325447
968	0.3347570835
969	0.3346798614
970	0.3345911649
971	0.3345146278
972	0.3344861319
973	0.3344545202
974	0.3343455648
975	0.3342775404
976	0.3342258375
977	0.3341750413
978	0.3341159273
979	0.3340510346
980	0.3339859951
981	0.3339237743
982	0.3338829395
983	0.3338144771
984	0.3337212866
985	0.3336324374
986	0.3335922697
987	0.333554992
988	0.333512123
989	0.3334478851
990	0.3333352216
991	0.3332352449
992	0.3331281944
993	0.333056285
994	0.3330260269
995	0.3329339816
996	0.3328395992
997	0.3327716152
998	0.3326589876
999	0.3325717594
